,accurary_score,epoch,f1_score_weighted,precision_score_weighted,prediction_type,recall_score_weighted
0,0.8951429555632104,1,0.8943152662399738,0.8955582506070602,predictions on style transfer text,0.8943152662399738
1,0.5231140199793317,1,0.5231140199793318,0.5231140199793318,random baseline,0.5231140199793318
2,0.10485704443678953,1,0.09814624201365947,0.10201313858442762,inverted baseline,0.10485704443678953
3,0.8076472614536686,2,0.8093664113570028,0.819774606156993,predictions on style transfer text,0.8093664113570028
4,0.5181536341715467,2,0.5181536341715467,0.5181536341715467,random baseline,0.5181536341715467
5,0.1923527385463314,2,0.19950580697169917,0.21215921802896545,inverted baseline,0.1923527385463314
6,0.7777471581122977,3,0.7768888027068905,0.7765190602495676,predictions on style transfer text,0.7768888027068905
7,0.5147089218050293,3,0.5147089218050293,0.5147089218050293,random baseline,0.5147089218050293
8,0.2222528418877024,3,0.21938183384760807,0.23705287164288544,inverted baseline,0.2222528418877024
9,0.6698587667929727,4,0.6725374131085078,0.6987838506769981,predictions on style transfer text,0.6725374131085078
10,0.5169135377196005,4,0.5169135377196005,0.5169135377196005,random baseline,0.5169135377196005
11,0.3301412332070272,4,0.33565235760205264,0.34350401935553265,inverted baseline,0.3301412332070272
12,0.7094729590079228,5,0.7115652987505515,0.7430478787798497,predictions on style transfer text,0.7115652987505515
13,0.5203582500861178,5,0.5203582500861178,0.5203582500861178,random baseline,0.5203582500861178
14,0.29052704099207716,5,0.2957304733922115,0.30228391525564746,inverted baseline,0.29052704099207716
15,0.7868411987599035,6,0.7883569589405139,0.7934693320673375,predictions on style transfer text,0.7883569589405139
16,0.5193937306234929,6,0.5193937306234929,0.5193937306234929,random baseline,0.5193937306234929
17,0.21315880124009645,6,0.21864796177183166,0.2333392705176294,inverted baseline,0.21315880124009645
18,0.7766448501550121,7,0.7782421023116157,0.7834485254634506,predictions on style transfer text,0.7782421023116157
19,0.5227006544953496,7,0.5227006544953496,0.5227006544953496,random baseline,0.5227006544953496
20,0.22335514984498794,7,0.22880471935587304,0.24383421252338813,inverted baseline,0.22335514984498794
21,0.732483637616259,8,0.7334879596851663,0.735148879708335,predictions on style transfer text,0.7334879596851663
22,0.5244919049259387,8,0.5244919049259387,0.5244919049259387,random baseline,0.5244919049259387
23,0.26751636238374094,8,0.2701859031330581,0.28922028821497886,inverted baseline,0.26751636238374094
24,0.7696865311746469,9,0.7718603661468345,0.7880487174740616,predictions on style transfer text,0.7718603661468345
25,0.5225628660006889,9,0.5225628660006889,0.5225628660006889,random baseline,0.5225628660006889
26,0.23031346882535308,9,0.2375750028252391,0.24911253482763768,inverted baseline,0.23031346882535308
27,0.7505339304168102,10,0.752616198968404,0.7797433503219839,predictions on style transfer text,0.752616198968404
28,0.5247674819152601,10,0.5247674819152601,0.5247674819152601,random baseline,0.5247674819152601
29,0.24946606958318981,10,0.2558100601613982,0.26407858536685774,inverted baseline,0.24946606958318981
30,0.814467791939373,11,0.8139469604902689,0.813710212236218,predictions on style transfer text,0.8139469604902689
31,0.5170513262142611,11,0.5170513262142611,0.5170513262142611,random baseline,0.5170513262142611
32,0.18553220806062692,11,0.18334284852442348,0.1975412492810118,inverted baseline,0.18553220806062692
33,0.7595590768170858,12,0.7601795913565645,0.7610964819168587,predictions on style transfer text,0.7601795913565645
34,0.5114019979331725,12,0.5114019979331725,0.5114019979331725,random baseline,0.5114019979331725
35,0.24044092318291424,12,0.24233837472667918,0.26026736023691777,inverted baseline,0.24044092318291424
36,0.8169479848432656,13,0.8145589819626433,0.81656475620384,predictions on style transfer text,0.8145589819626433
37,0.518015845676886,13,0.518015845676886,0.518015845676886,random baseline,0.518015845676886
38,0.18305201515673442,13,0.1729980255602678,0.18490682080145088,inverted baseline,0.18305201515673442
39,0.7707199448846022,14,0.7710368574949651,0.7714338107252133,predictions on style transfer text,0.7710368574949651
40,0.5170513262142611,14,0.5170513262142611,0.5170513262142611,random baseline,0.5170513262142611
41,0.22928005511539787,14,0.23030846016077006,0.24783370287666584,inverted baseline,0.22928005511539787
42,0.7772648983809852,15,0.7793100436824942,0.8007852695225794,predictions on style transfer text,0.7793100436824942
43,0.5189803651395108,15,0.518980365139511,0.518980365139511,random baseline,0.518980365139511
44,0.2227351016190148,15,0.22991418949656994,0.23989352394288888,inverted baseline,0.2227351016190148
45,0.7694798484326558,16,0.7688217367667081,0.7684387729818274,predictions on style transfer text,0.7688217367667081
46,0.519807096107475,16,0.519807096107475,0.519807096107475,random baseline,0.519807096107475
47,0.23052015156734412,16,0.22841677582559644,0.24678153321856516,inverted baseline,0.23052015156734412
48,0.8085428866689631,17,0.809357140738607,0.8111465535395512,predictions on style transfer text,0.809357140738607
49,0.5260075783672064,17,0.5260075783672064,0.5260075783672064,random baseline,0.5260075783672064
50,0.19145711333103685,17,0.1947996613704,0.2094407504202822,inverted baseline,0.19145711333103685
51,0.716637960730279,18,0.7136761495867285,0.7978925023963613,predictions on style transfer text,0.7136761495867285
52,0.5167757492249397,18,0.5167757492249397,0.5167757492249397,random baseline,0.5167757492249397
53,0.283362039269721,18,0.27543965760320177,0.26831402836029844,inverted baseline,0.283362039269721
54,0.7891836031691354,19,0.7911713184313821,0.8085723320770085,predictions on style transfer text,0.7911713184313821
55,0.5151222872890113,19,0.5151222872890113,0.5151222872890113,random baseline,0.5151222872890113
56,0.21081639683086462,19,0.2182638450658149,0.22932750221574902,inverted baseline,0.21081639683086462
57,0.7464691698243197,20,0.7450913619180967,0.7445822517087929,predictions on style transfer text,0.7450913619180967
58,0.5221495005167068,20,0.5221495005167068,0.5221495005167068,random baseline,0.5221495005167068
59,0.25353083017568034,20,0.2496633801499983,0.27072578051746016,inverted baseline,0.25353083017568034
60,0.7829142266620737,21,0.7842651992587454,0.7880597135556578,predictions on style transfer text,0.7842651992587454
61,0.5158112297623149,21,0.5158112297623149,0.5158112297623149,random baseline,0.5158112297623149
62,0.21708577333792628,21,0.22185003078872095,0.23714688628778122,inverted baseline,0.21708577333792628
63,0.8373406820530486,22,0.8379128821566117,0.839138880083114,predictions on style transfer text,0.8379128821566117
64,0.5165001722356183,22,0.5165001722356183,0.5165001722356183,random baseline,0.5165001722356183
65,0.16265931794695143,22,0.16551707640376742,0.17857179314633748,inverted baseline,0.16265931794695143
66,0.743575611436445,23,0.7442851163048381,0.7453317899016761,predictions on style transfer text,0.7442851163048381
67,0.5189803651395108,23,0.518980365139511,0.518980365139511,random baseline,0.518980365139511
68,0.25642438856355493,23,0.25841679334320045,0.277281021804304,inverted baseline,0.25642438856355493
69,0.8090940406476059,24,0.8087011908914876,0.8084649578152988,predictions on style transfer text,0.8087011908914876
70,0.5206338270754391,24,0.5206338270754391,0.5206338270754391,random baseline,0.5206338270754391
71,0.19090595935239407,24,0.1893095197325584,0.204058698286023,inverted baseline,0.19090595935239407
72,0.7800895625215295,25,0.7815923424629434,0.7862621762139228,predictions on style transfer text,0.7815923424629434
73,0.5097485359972442,25,0.5097485359972442,0.5097485359972442,random baseline,0.5097485359972442
74,0.21991043747847056,25,0.22513457655824629,0.2402309837777408,inverted baseline,0.21991043747847056
75,0.782569755425422,26,0.7843941342860679,0.7925158646203438,predictions on style transfer text,0.7843941342860679
76,0.5144333448157079,26,0.5144333448157079,0.5144333448157079,random baseline,0.5144333448157079
77,0.21743024457457802,26,0.2239119175267587,0.23776475198502012,inverted baseline,0.21743024457457802
